ID,PROVINCIA,COMUNIDAD,P_FELICIDAD,P_SALUD,S_NIVEL_VIDA,S_LABORAL,S_AMOR,S_SEXO,PAREJA,AÑOS_PAREJA,S_PAREJA,CONVIVE_PAREJA,CASADO,AFINIDAD_GEN,AFINIDAD_GUSTOS,AFINIDAD_SOCIAL,AFINIDAD_ECONOMI,AFINIDAD_SEX,IMPORTANCIA_SEX,IMPORTANCIA_SEX_PAREJA,EDUCACION_S,ATRACION_P,N_PAREJAS,COMUNICACION_SEX,R_EXT_MATRIMONIAL,ATRACCIÓN,F_SEXO,F_ANUAL,SEXO,EDAD,E_CIVIL,ESTUDIOS,SIT_LABORAL,OCUPACION,STATUS,NACIONALIDAD,RELIGION,SIT_ENT,PERCEPCION_EN,BIENESTAR
17,Granada,Andalucía,4,5,4,4,5,5,1,24,5,1,1,4,5,5,4,5,7,7,0,0,30,3,1,1,Regularmente,1,0,49,1,2,2,Obrero,1,1,0,0,2,4.25
26,Sevilla,Andalucía,4,3,2,1,5,4,1,16,4,1,1,3,4,5,3,4,10,7,0,0,3,3,1,1,Regularmente,0,0,34,1,2,2,Obrero,1,1,0,0,1,2.5
37,Madrid,Comunidad de Madrid,5,4,3,4,6,5,1,4,5,1,0,4,5,5,3,5,8,8,0,0,100,3,1,2,Regularmente,1,0,28,0,2,0,Mando,1,0,1,0,2,4.0
144,Madrid,Comunidad de Madrid,4,2,2,4,6,5,1,5,5,0,0,3,3,4,3,4,6,7,1,0,4,3,1,1,Regularmente,1,0,31,0,2,2,Obrero,1,1,0,0,2,3.0
252,Zaragoza,Aragón,4,4,4,4,5,4,1,3,4,0,0,3,3,4,3,4,7,7,1,1,4,3,1,1,Regularmente,0,1,48,0,3,2,Director,2,1,2,0,2,4.0
253,Huesca,Aragón,4,5,4,0,5,4,1,38,4,1,1,3,2,4,5,2,7,4,0,0,2,3,1,1,Mensualmente,0,0,66,1,3,2,Mando,1,1,0,0,2,3.25
324,Zaragoza,Aragón,4,5,3,2,5,4,1,34,4,1,1,3,3,4,3,4,7,5,0,0,998,3,1,1,Regularmente,0,0,56,1,2,2,Obrero,1,1,1,0,2,3.5
412,Asturias,Principado de Asturias,3,5,2,1,5,4,1,25,3,1,1,2,5,4,4,5,8,10,1,0,1,3,1,1,Diariamente,1,1,41,1,1,2,Obrero,1,1,1,1,2,2.75
417,Granada,Andalucía,4,5,5,5,6,4,1,32,4,1,1,4,5,5,5,5,7,7,0,0,1,3,1,1,Regularmente,0,1,56,1,2,2,Director,2,1,0,1,2,4.75
480,Madrid,Comunidad de Madrid,4,5,3,4,5,4,1,1,4,0,0,3,3,4,3,4,6,7,1,0,8,3,1,2,Regularmente,1,1,22,0,2,2,Autónomo,2,1,0,0,2,4.0
800,Madrid,Comunidad de Madrid,4,5,4,0,5,4,1,1,4,0,0,3,3,4,3,4,7,8,1,0,2,3,1,1,Mensualmente,0,0,80,0,2,2,Mando,1,1,1,0,2,3.25
876,Murcia,Región de Murcia,3,5,4,4,6,4,1,25,5,1,1,4,3,4,4,3,9,10,1,0,7,3,1,2,Regularmente,1,1,48,1,2,2,Comerciante,1,1,1,1,2,4.0
918,Huelva,Andalucía,5,3,3,0,5,5,1,37,5,1,1,3,4,4,4,4,8,9,0,0,1,3,1,1,Regularmente,0,0,63,1,1,2,Autónomo,1,1,1,0,2,2.75
932,Sevilla,Andalucía,4,4,2,5,5,4,1,25,4,1,1,3,4,5,5,4,8,5,0,0,4,3,1,2,Regularmente,0,0,51,1,4,2,Mando,2,1,1,1,2,3.75
1256,Madrid,Comunidad de Madrid,2,5,3,0,2,2,1,0,5,0,0,3,3,4,3,4,6,5,1,0,15,3,1,2,Regularmente,1,0,18,0,2,0,Obrero,1,0,1,1,1,2.5
1490,Madrid,Comunidad de Madrid,4,5,5,5,6,4,1,1,5,1,0,4,5,4,5,5,10,10,1,0,20,3,1,1,Regularmente,1,1,34,0,2,2,Administrativo,1,1,1,1,2,4.75
1497,Sevilla,Andalucía,3,3,3,0,5,4,1,22,4,1,0,3,4,4,4,4,8,8,0,0,1,3,1,1,Regularmente,1,1,52,0,2,2,Comerciante,1,1,1,0,2,2.25
1564,Huesca,Aragón,4,3,4,4,6,0,1,48,5,1,1,4,5,4,4,5,8,8,0,0,5,3,1,1,Sin actividad sexual,0,0,74,1,4,2,Autónomo,2,1,0,0,1,3.75
1592,Madrid,Comunidad de Madrid,4,5,5,5,6,5,1,1,5,0,0,3,3,4,3,4,10,10,1,0,4,3,1,1,Regularmente,0,1,24,0,2,2,Obrero,1,1,0,0,2,4.75
1598,Sevilla,Andalucía,4,3,3,0,5,4,1,30,4,1,1,3,5,4,4,4,7,7,0,0,5,3,1,1,Regularmente,1,0,55,1,2,2,Obrero,1,1,0,1,2,2.5
1818,Jaén,Andalucía,4,4,4,4,5,4,1,10,4,1,0,4,4,5,4,4,5,5,0,0,10,3,1,1,Regularmente,1,0,32,0,2,0,Autónomo,1,1,0,0,2,4.0
1879,Sevilla,Andalucía,5,5,4,0,6,5,1,35,5,1,1,3,4,4,4,4,6,6,0,0,1,3,1,1,Regularmente,0,1,55,1,3,2,Comerciante,2,1,1,0,1,3.5
1940,Madrid,Comunidad de Madrid,4,5,4,4,5,4,1,20,5,1,1,3,4,4,5,5,8,7,0,0,40,3,1,2,Regularmente,1,0,62,1,2,2,Administrativo,1,1,0,1,2,4.25
2030,Zaragoza,Aragón,4,5,3,4,6,5,1,3,5,1,0,3,5,4,4,5,8,8,1,0,5,3,1,1,Regularmente,0,1,27,0,3,2,Mando,1,1,0,1,2,4.0
2130,Santander,Cantabria,3,5,2,4,5,4,1,8,3,1,0,3,4,4,3,4,10,5,0,0,20,3,1,1,Regularmente,0,1,47,1,3,2,Obrero,1,0,0,0,2,3.5
2332,Sevilla,Andalucía,4,5,4,0,5,4,1,1,4,0,0,3,3,4,3,4,8,7,1,1,4,3,1,1,Regularmente,0,0,21,0,2,1,Mando,1,1,1,0,2,3.25
2826,Navarra,Comunidad Foral de Navarra,4,4,2,4,5,4,1,27,4,1,1,3,4,5,2,4,8,6,1,0,4,3,1,1,Regularmente,0,0,47,1,2,2,Comerciante,1,1,1,1,2,3.5
2845,Málaga,Andalucía,4,4,4,2,5,4,1,1,4,1,0,3,4,2,4,4,5,6,0,0,6,3,1,1,Regularmente,0,0,26,0,2,2,Obrero,1,1,1,0,1,3.5
3064,Madrid,Comunidad de Madrid,4,5,2,2,5,4,1,32,5,1,1,3,5,5,4,4,5,5,1,0,20,3,1,1,Regularmente,0,0,46,1,2,2,Administrativo,1,1,1,0,2,3.25
3471,Málaga,Andalucía,4,5,3,4,5,4,1,20,3,1,0,3,4,4,4,4,6,9,1,0,1,3,1,1,Regularmente,0,1,34,0,2,2,Mando,1,1,2,0,2,4.0
3964,Cádiz,Andalucía,4,5,2,3,5,4,1,23,4,1,1,3,2,4,5,4,8,6,1,0,25,3,1,1,Regularmente,0,0,41,1,2,2,Mando,1,1,1,1,2,3.5
4065,Málaga,Andalucía,4,5,3,0,5,4,1,42,4,1,1,3,4,4,3,4,8,6,0,0,5,3,1,1,Mensualmente,0,0,66,1,2,2,Obrero,1,1,1,0,2,3.0
4347,Sevilla,Andalucía,4,5,2,2,5,4,1,3,4,1,0,3,4,4,5,4,9,8,0,0,10,3,1,2,Regularmente,0,0,27,0,2,2,Mando,1,1,1,0,2,3.25
4605,Madrid,Comunidad de Madrid,4,5,4,0,5,4,1,3,4,0,0,3,3,4,3,4,8,8,1,0,30,3,1,2,Regularmente,1,0,59,0,3,2,Mando,1,1,0,0,2,3.25
4617,Málaga,Andalucía,4,3,3,0,5,2,1,38,4,1,1,3,4,4,4,4,8,8,0,0,70,3,1,2,Ocasionalmente,0,0,75,1,4,2,Mando,2,1,1,1,2,2.5
4619,Málaga,Andalucía,3,2,3,0,5,4,1,38,4,1,1,4,5,5,4,5,9,8,1,0,20,3,1,1,Regularmente,0,0,55,1,3,2,Mando,1,1,0,0,2,2.0
4718,Vizcaya,País Vasco,5,4,5,4,6,5,1,2,5,1,0,4,5,4,5,5,8,7,1,0,20,3,1,1,Regularmente,1,0,31,0,4,2,Mando,1,0,0,1,1,4.5
4726,Málaga,Andalucía,4,3,2,0,5,4,1,23,4,1,1,3,3,4,5,4,7,5,0,0,12,3,1,1,Regularmente,0,0,50,1,2,2,Obrero,1,1,1,0,1,2.25
4732,Sevilla,Andalucía,4,5,4,5,5,4,1,9,4,1,1,3,4,5,5,4,7,6,0,0,15,3,1,2,Regularmente,1,0,31,1,2,2,Director,2,1,1,1,2,4.5
4845,Cádiz,Andalucía,5,4,3,3,5,4,1,4,4,0,0,3,3,4,3,4,8,7,0,0,8,3,1,2,Regularmente,0,0,25,0,4,1,Obrero,1,1,1,0,2,3.75
4955,Guipúzcoa,País Vasco,4,5,5,2,6,4,1,20,4,1,1,3,4,4,4,4,7,7,0,0,2,3,1,1,Regularmente,0,0,50,1,2,2,Administrativo,1,1,1,1,1,4.0
4980,Granada,Andalucía,5,4,5,5,5,2,1,13,3,1,1,4,2,3,5,4,10,4,1,0,3,3,1,1,Regularmente,0,0,34,1,2,2,Obrero,1,1,2,0,2,4.75
4999,Málaga,Andalucía,4,5,3,0,5,4,1,28,5,1,1,4,4,5,3,4,6,6,0,0,6,3,1,1,Regularmente,1,1,50,1,2,0,Comerciante,1,1,1,0,2,3.0
5004,Madrid,Comunidad de Madrid,4,4,2,3,6,5,1,1,5,1,0,4,4,3,4,4,7,7,1,0,7,3,1,1,Regularmente,0,0,22,0,2,2,Mando,1,1,2,1,2,3.25
5094,Zaragoza,Aragón,4,5,2,4,5,4,1,25,4,1,1,3,3,4,4,4,5,5,0,0,4,3,1,2,Regularmente,0,0,42,1,2,2,Mando,1,1,1,0,2,3.75
5121,Madrid,Comunidad de Madrid,5,4,2,5,4,3,1,20,3,1,0,1,3,4,3,4,5,10,0,1,4,3,1,1,Mensualmente,0,1,39,0,1,2,Obrero,1,1,1,0,1,4.0
5295,Navarra,Comunidad Foral de Navarra,5,5,3,4,6,5,1,16,5,1,1,4,5,5,5,5,9,8,1,0,20,3,1,1,Regularmente,0,0,34,1,2,2,Obrero,1,0,1,0,2,4.25
5302,Madrid,Comunidad de Madrid,1,5,1,0,5,4,1,1,5,0,0,3,3,4,3,4,9,5,1,0,6,3,1,2,Regularmente,0,0,23,0,2,1,Comerciante,1,1,1,0,2,1.75
5309,Santander,Cantabria,4,5,3,4,5,4,1,20,4,1,1,3,3,5,5,4,8,6,0,0,2,3,1,2,Diariamente,0,0,42,1,3,2,Mando,1,1,2,0,2,4.0
5385,Asturias,Principado de Asturias,2,5,2,2,3,2,1,17,2,1,1,4,5,5,5,2,8,5,0,0,7,1,1,2,Mensualmente,0,0,37,1,4,2,Autónomo,2,1,0,0,2,2.75
5489,Zaragoza,Aragón,3,5,3,4,6,5,1,5,5,1,1,4,5,5,5,5,10,10,1,0,998,3,1,2,Regularmente,0,1,46,1,4,2,Obrero,1,0,0,0,2,3.75
5719,Murcia,Región de Murcia,5,5,4,5,6,5,1,0,4,0,0,3,3,4,3,4,7,5,0,0,4,3,1,1,Regularmente,0,0,29,0,2,2,Obrero,1,1,1,0,2,4.75
5753,Asturias,Principado de Asturias,3,3,3,3,4,3,1,19,4,1,1,3,4,3,3,4,8,10,1,0,998,3,1,1,Regularmente,0,0,44,1,2,2,Mando,1,1,1,0,2,3.0
5755,Madrid,Comunidad de Madrid,5,4,2,4,6,4,1,3,5,1,0,4,5,5,3,5,9,9,1,0,15,3,1,1,Regularmente,0,1,28,0,4,2,Comerciante,1,1,0,0,2,3.75
5772,Córdoba,Andalucía,5,5,2,4,5,4,1,5,5,0,0,3,3,4,3,4,8,10,0,0,50,3,1,2,Regularmente,0,0,32,0,2,2,Obrero,1,1,0,1,2,4.0
5801,Madrid,Comunidad de Madrid,1,3,2,2,2,3,1,11,3,1,1,3,4,3,3,4,2,3,0,0,4,3,1,1,Mensualmente,1,0,40,1,3,2,Obrero,1,1,1,0,2,2.0
6089,Madrid,Comunidad de Madrid,4,5,2,4,5,4,1,6,4,0,0,3,3,4,3,4,9,9,1,1,7,3,1,1,Regularmente,0,1,25,0,2,2,Mando,1,1,0,0,2,3.75
6294,Málaga,Andalucía,4,3,2,0,5,4,1,32,4,1,1,3,4,4,2,4,10,10,0,0,10,3,1,2,Ocasionalmente,0,0,58,1,1,0,Autónomo,1,1,1,1,1,2.25
6367,Madrid,Comunidad de Madrid,4,5,4,0,4,3,1,40,4,1,1,3,3,4,4,4,8,7,0,0,3,3,1,1,Regularmente,0,0,66,1,3,2,Director,2,1,0,1,2,3.25
6461,Huelva,Andalucía,5,5,4,4,6,5,1,11,5,1,1,3,3,4,4,5,10,10,0,0,10,3,1,1,Regularmente,0,0,39,1,3,2,Administrativo,1,1,0,0,2,4.5
6612,Málaga,Andalucía,4,2,2,0,6,5,1,40,5,1,1,3,4,4,4,4,8,7,0,0,1,3,1,1,Regularmente,0,0,50,1,2,2,Comerciante,1,1,1,1,2,2.0
6622,Córdoba,Andalucía,3,5,3,3,4,3,1,30,3,1,1,3,3,3,3,3,5,10,0,0,3,3,1,1,Regularmente,0,0,48,1,2,2,Administrativo,1,1,1,1,2,3.5
6730,Asturias,Principado de Asturias,3,5,2,0,4,0,1,53,4,1,1,3,3,5,5,3,5,4,0,0,1,3,1,1,Ocasionalmente,1,1,70,1,2,2,Obrero,1,1,1,1,2,2.5
6973,Murcia,Región de Murcia,4,5,4,2,4,3,1,25,3,1,1,3,4,4,4,3,8,6,0,0,14,3,1,1,Regularmente,0,0,49,1,2,2,Mando,1,1,0,0,2,3.75
7029,Madrid,Comunidad de Madrid,5,4,3,3,6,5,1,5,5,1,0,4,4,5,4,5,10,10,1,0,20,3,1,1,Regularmente,1,0,34,0,1,2,Obrero,1,0,2,0,2,3.75
7053,Madrid,Comunidad de Madrid,4,5,4,0,3,3,1,47,4,1,1,3,4,4,3,4,7,7,0,0,1,3,1,0,Regularmente,0,0,78,1,2,2,Obrero,1,1,1,1,1,3.25
7073,Córdoba,Andalucía,4,5,4,4,6,5,1,20,5,1,1,3,4,4,4,5,10,10,0,0,2,3,1,2,Regularmente,0,0,42,1,2,2,Obrero,1,1,1,1,2,4.25
7179,Asturias,Principado de Asturias,4,5,5,5,6,5,1,1,4,1,0,4,4,5,4,5,9,6,0,0,30,3,1,1,Diariamente,0,0,34,0,2,2,Obrero,1,1,0,0,2,4.75
7228,Madrid,Comunidad de Madrid,4,4,4,2,5,5,1,4,4,1,0,3,4,4,4,5,8,8,0,0,3,3,1,1,Regularmente,1,0,57,0,4,2,Administrativo,1,1,1,0,2,3.5
7267,Madrid,Comunidad de Madrid,4,4,5,5,6,4,1,26,4,1,1,4,5,5,5,4,8,10,0,0,4,3,1,1,Regularmente,0,0,43,1,4,2,Mando,1,1,1,0,1,4.5
7323,Jaén,Andalucía,5,5,3,4,5,5,1,7,5,0,0,3,3,4,3,4,8,9,1,0,4,3,1,2,Regularmente,0,1,25,0,2,2,Comerciante,1,1,1,0,2,4.25
7455,Gerona,Cataluña,5,5,4,5,6,5,1,10,5,1,0,4,5,4,4,5,5,5,1,0,3,3,1,1,Regularmente,0,0,37,1,2,2,Agricultor,1,1,0,0,2,4.75
7509,Valencia,Comunidad Valenciana,4,3,3,2,5,4,1,28,4,1,1,2,3,4,3,3,3,2,0,0,18,3,1,2,Regularmente,1,0,48,1,2,2,Autónomo,1,1,1,0,2,3.0
7622,Orense,Galicia,5,5,5,5,5,4,1,2,4,1,1,4,4,4,4,4,9,9,1,0,3,3,1,1,Regularmente,0,1,27,1,2,2,Obrero,1,0,0,1,1,5.0
7883,Asturias,Principado de Asturias,4,5,4,4,6,5,1,18,4,1,1,3,2,5,4,4,6,10,1,0,3,3,1,1,Regularmente,0,1,41,1,2,2,Obrero,1,1,1,0,2,4.25
7966,Gerona,Cataluña,4,5,4,4,5,4,1,13,4,1,0,3,4,4,4,4,6,6,0,0,10,3,1,1,Regularmente,0,1,53,0,2,2,Obrero,1,1,0,0,2,4.25
7991,Castellón,Comunidad Valenciana,3,3,4,4,4,4,1,26,3,1,1,3,4,4,2,3,6,5,0,0,5,3,1,1,Regularmente,0,1,50,1,4,2,Mando,2,1,0,0,2,3.5
8046,Barcelona,Cataluña,4,5,2,4,5,4,1,1,4,0,0,3,3,4,3,4,6,6,0,0,5,3,1,1,Regularmente,0,1,49,0,2,2,Obrero,1,1,0,0,2,3.75
8154,Barcelona,Cataluña,4,5,4,4,5,4,1,17,4,1,0,3,4,4,4,4,8,8,0,1,4,3,1,1,Regularmente,0,1,48,0,2,2,Administrativo,1,1,2,0,2,4.25
8226,Guadalajara,Castilla-La Mancha,4,4,3,4,5,4,1,20,5,1,1,4,5,5,4,5,5,7,0,0,3,3,1,1,Regularmente,0,1,40,1,2,0,Obrero,1,1,1,1,2,3.75
8277,Lérida,Cataluña,5,5,5,0,5,4,1,43,5,1,1,3,4,5,4,4,7,7,0,0,1,3,1,1,Regularmente,0,0,65,1,2,2,Autónomo,1,1,1,1,1,3.75
8424,Barcelona,Cataluña,4,5,5,5,6,5,1,1,4,1,0,4,4,5,5,5,10,10,0,0,50,3,1,1,Regularmente,1,0,29,1,3,2,Mando,1,0,1,1,1,4.75
8519,Albacete,Castilla-La Mancha,4,3,4,0,6,5,1,19,5,1,1,4,3,5,5,5,5,4,0,0,4,3,1,1,Mensualmente,0,0,81,1,1,2,Obrero,1,1,1,0,1,2.75
8542,Santa Cruz de Tenerife,Islas Canarias,4,5,1,0,4,4,1,14,4,1,1,4,5,5,5,5,7,7,0,0,3,3,1,1,Diariamente,1,1,37,1,3,0,Obrero,1,1,1,1,2,2.5
8656,Alicante,Comunidad Valenciana,4,5,4,4,6,5,1,30,5,1,1,4,5,5,4,5,7,10,0,0,6,3,1,1,Regularmente,0,0,50,1,3,2,Mando,1,1,1,0,2,4.25
8714,Asturias,Principado de Asturias,4,5,4,0,4,3,1,38,4,1,1,3,4,4,4,4,8,8,0,0,14,3,1,1,Regularmente,0,0,60,1,3,2,Obrero,1,1,1,0,2,3.25
8875,León,Castilla y León,3,5,2,4,6,5,1,1,5,0,0,3,3,4,3,4,8,8,0,0,5,3,1,2,Mensualmente,0,1,24,0,2,2,Obrero,1,1,0,0,2,3.5
8889,Palma,Islas Baleares,3,5,4,0,4,1,1,6,3,1,1,3,5,5,4,5,8,10,1,0,998,3,1,1,Ocasionalmente,1,1,54,1,2,2,Obrero,0,1,1,1,2,3.0
8896,Salamanca,Castilla y León,4,5,2,2,5,1,1,22,4,1,1,3,2,4,3,4,10,10,1,0,1,3,1,1,Regularmente,0,1,39,1,4,0,Mando,2,1,1,0,2,3.25
9071,Guadalajara,Castilla-La Mancha,5,5,4,5,6,5,1,2,4,1,0,3,4,4,4,4,2,8,0,0,8,3,1,2,Regularmente,1,0,47,0,2,2,Mando,1,1,1,0,2,4.75
